Filename,HardCoralCover,Healthy,Paling,Bleached,Mortality
Chumbe_28.03.2024_M4_edited,47.29,8.15,3.04,31.45,4.65
Chumbe_28.03.2024_M6_edited,92.38,73.87,7.65,4.16,6.7
